,Adj Close,Adj Close,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
,AMZN,GOOG,AMZN,GOOG,AMZN,GOOG,AMZN,GOOG,AMZN,GOOG,AMZN,GOOG
Date,,,,,,,,,,,,
2019-01-02,1539.1300048828125,1045.8499755859375,1539.1300048828125,1045.8499755859375,1553.3599853515625,1052.3199462890625,1460.9300537109375,1015.7100219726562,1465.199951171875,1016.5700073242188,7983100,1532600
2019-01-03,1500.280029296875,1016.0599975585938,1500.280029296875,1016.0599975585938,1538.0,1056.97998046875,1497.1099853515625,1014.0700073242188,1520.010009765625,1041.0,6975600,1841100
2019-01-04,1575.3900146484375,1070.7099609375,1575.3900146484375,1070.7099609375,1594.0,1070.8399658203125,1518.31005859375,1027.41796875,1530.0,1032.5899658203125,9182600,2093900
2019-01-07,1629.510009765625,1068.3900146484375,1629.510009765625,1068.3900146484375,1634.56005859375,1074.0,1589.18994140625,1054.760009765625,1602.31005859375,1071.5,7993200,1981900
2019-01-08,1656.5799560546875,1076.280029296875,1656.5799560546875,1076.280029296875,1676.6099853515625,1084.56005859375,1616.6099853515625,1060.530029296875,1664.68994140625,1076.1099853515625,8881400,1764900
2019-01-09,1659.4200439453125,1074.6600341796875,1659.4200439453125,1074.6600341796875,1667.800048828125,1082.6300048828125,1641.4000244140625,1066.4000244140625,1652.97998046875,1081.6500244140625,6348800,1199300
2019-01-10,1656.219970703125,1070.3299560546875,1656.219970703125,1070.3299560546875,1663.25,1071.1500244140625,1621.6199951171875,1057.7099609375,1641.010009765625,1067.6600341796875,6507700,1456400
2019-01-11,1640.56005859375,1057.18994140625,1640.56005859375,1057.18994140625,1660.2900390625,1063.7750244140625,1636.219970703125,1048.47998046875,1640.550048828125,1063.1800537109375,4686200,1520800
2019-01-14,1617.2099609375,1044.68994140625,1617.2099609375,1044.68994140625,1648.199951171875,1051.530029296875,1595.1500244140625,1041.2550048828125,1615.0,1046.9200439453125,6005900,1144300
2019-01-15,1674.56005859375,1077.1500244140625,1674.56005859375,1077.1500244140625,1675.1600341796875,1080.050048828125,1626.010009765625,1047.3399658203125,1632.0,1050.1700439453125,5998500,1463600
2019-01-16,1683.780029296875,1080.969970703125,1683.780029296875,1080.969970703125,1705.0,1092.375,1675.8800048828125,1079.3399658203125,1684.219970703125,1080.0,6366900,1331800
2019-01-17,1693.219970703125,1089.9000244140625,1693.219970703125,1089.9000244140625,1700.1700439453125,1091.800048828125,1677.5,1073.5,1680.0,1079.469970703125,4208900,1242700
2019-01-18,1696.199951171875,1098.260009765625,1696.199951171875,1098.260009765625,1716.199951171875,1108.35205078125,1691.5400390625,1090.9000244140625,1712.0,1100.0,6020500,1955600
2019-01-22,1632.1700439453125,1070.52001953125,1632.1700439453125,1070.52001953125,1681.8699951171875,1091.510009765625,1610.199951171875,1063.469970703125,1681.0,1088.0,6416800,1613500
2019-01-23,1640.02001953125,1075.5699462890625,1640.02001953125,1075.5699462890625,1657.4300537109375,1084.9300537109375,1612.0,1059.75,1656.0,1077.3499755859375,5225200,967000
2019-01-24,1654.9300537109375,1073.9000244140625,1654.9300537109375,1073.9000244140625,1657.260009765625,1079.4749755859375,1631.780029296875,1060.699951171875,1641.0699462890625,1076.47998046875,4089900,1361300
2019-01-25,1670.5699462890625,1090.989990234375,1670.5699462890625,1090.989990234375,1683.47998046875,1094.0,1661.6099853515625,1081.8199462890625,1670.5,1085.0,4945900,1119100
2019-01-28,1637.8900146484375,1070.0799560546875,1637.8900146484375,1070.0799560546875,1645.0,1083.0,1614.0899658203125,1063.800048828125,1643.5899658203125,1080.1099853515625,4837700,1284300
2019-01-29,1593.8800048828125,1060.6199951171875,1593.8800048828125,1060.6199951171875,1632.3800048828125,1075.1500244140625,1590.719970703125,1055.864990234375,1631.27001953125,1072.6800537109375,4632800,1021800
2019-01-30,1670.4300537109375,1089.06005859375,1670.4300537109375,1089.06005859375,1676.949951171875,1091.0,1619.6800537109375,1066.8499755859375,1623.0,1068.4300537109375,5783800,1279800
2019-01-31,1718.72998046875,1116.3699951171875,1718.72998046875,1116.3699951171875,1736.4100341796875,1117.3299560546875,1679.0799560546875,1095.4100341796875,1692.8499755859375,1103.0,10910300,1538300
