,open,high,low,close,adjclose,volume,ticker
2019-01-01,14163.900390625,14515.099609375,14112.7998046875,14504.099609375,14504.099609375,970976200,^GSPTSE
2019-01-08,14610.5,14997.900390625,14533.900390625,14975.5,14975.5,1270472000,^GSPTSE
2019-01-15,15002.0,15354.2001953125,14966.5,15354.2001953125,15354.2001953125,1133680600,^GSPTSE
2019-01-22,15276.2998046875,15388.0,15141.5,15378.599609375,15378.599609375,1086637800,^GSPTSE
2019-01-29,15414.7001953125,15606.2998046875,15413.900390625,15602.2998046875,15602.2998046875,1223674200,^GSPTSE
2019-02-05,15631.7998046875,15745.400390625,15545.900390625,15568.900390625,15568.900390625,1094544700,^GSPTSE
2019-02-12,15613.099609375,15866.599609375,15583.400390625,15838.2001953125,15838.2001953125,1046933400,^GSPTSE
2019-02-19,15856.900390625,16099.900390625,15831.900390625,16057.0,16057.0,1345182200,^GSPTSE
2019-02-26,16051.0,16122.099609375,15955.0,16038.099609375,16038.099609375,1326637200,^GSPTSE
2019-03-05,16077.2998046875,16145.7998046875,15891.900390625,16106.2001953125,16106.2001953125,1306510200,^GSPTSE
2019-03-12,16142.599609375,16251.400390625,16083.099609375,16251.400390625,16251.400390625,1563709900,^GSPTSE
2019-03-19,16275.2998046875,16275.2998046875,16021.0,16065.900390625,16065.900390625,1327546000,^GSPTSE
2019-03-26,16138.900390625,16228.099609375,16079.099609375,16228.099609375,16228.099609375,1171592700,^GSPTSE
2019-04-02,16240.400390625,16407.30078125,16194.900390625,16407.30078125,16407.30078125,970542100,^GSPTSE
2019-04-09,16340.599609375,16532.69921875,16294.2998046875,16515.5,16515.5,1009496400,^GSPTSE
2019-04-16,16537.69921875,16616.30078125,16495.69921875,16577.30078125,16577.30078125,901526600,^GSPTSE
2019-04-23,16591.599609375,16672.69921875,16515.5,16600.400390625,16600.400390625,1177046900,^GSPTSE
2019-04-30,16582.69921875,16618.80078125,16327.099609375,16493.5,16493.5,1083041200,^GSPTSE
2019-05-07,16378.0,16451.400390625,16111.2998046875,16193.400390625,16193.400390625,1153031200,^GSPTSE
2019-05-14,16227.400390625,16461.900390625,16206.2001953125,16401.80078125,16401.80078125,798672500,^GSPTSE
2019-05-21,16383.2998046875,16426.5,16105.5,16346.7001953125,16346.7001953125,925662300,^GSPTSE
2019-05-28,16326.900390625,16355.5,15960.900390625,16015.900390625,16015.900390625,1222644300,^GSPTSE
2019-06-04,16075.599609375,16277.400390625,16027.2998046875,16216.2998046875,16216.2998046875,950140600,^GSPTSE
2019-06-11,16290.099609375,16360.099609375,16190.900390625,16353.5,16353.5,909491600,^GSPTSE
2019-06-18,16451.5,16603.900390625,16448.80078125,16523.5,16523.5,1336217400,^GSPTSE
2019-06-25,16504.599609375,16514.80078125,16268.2001953125,16382.2001953125,16382.2001953125,803663200,^GSPTSE
2019-07-02,16463.599609375,16598.30078125,16381.7001953125,16463.0,16463.0,685021800,^GSPTSE
2019-07-09,16436.69921875,16641.80078125,16421.69921875,16510.80078125,16510.80078125,847440500,^GSPTSE
2019-07-16,16487.0,16573.69921875,16445.099609375,16518.900390625,16518.900390625,850652500,^GSPTSE
