"REF_DATE","GEO","DGUID","Assets and debts","Age group","Economic family type","Statistics","Confidence intervals","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999","Canada","2016A000011124","Total assets","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80526119","1.1.1.3.5.1","49300","","","","0"
"2005","Canada","2016A000011124","Total assets","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80526119","1.1.1.3.5.1","54100","E","","","0"
"2012","Canada","2016A000011124","Total assets","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80526119","1.1.1.3.5.1","70700","","","","0"
"2016","Canada","2016A000011124","Total assets","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80526119","1.1.1.3.5.1","106000","","","","0"
"1999","Canada","2016A000011124","Private pension assets","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80526245","1.2.1.3.5.1","39400","","","","0"
"2005","Canada","2016A000011124","Private pension assets","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80526245","1.2.1.3.5.1","52100","","","","0"
"2012","Canada","2016A000011124","Private pension assets","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80526245","1.2.1.3.5.1","68600","","","","0"
"2016","Canada","2016A000011124","Private pension assets","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80526245","1.2.1.3.5.1","97400","","","","0"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80526371","1.3.1.3.5.1","20700","","","","0"
"2005","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","All ages","Persons not in an economic family","Median value for those holding asset or debt","Estimate","2016 constant dollars","350","units","0","v80526371","1.3.1.3.5.1","21600","","","","0"
