"REF_DATE","GEO","DGUID","Assets and debts","Age group","Economic family type","Statistics","Confidence intervals","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999","Canada","2016A000011124","Total assets","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526151","1.1.3.3.1.1","81349","E","","","0"
"2005","Canada","2016A000011124","Total assets","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526151","1.1.3.3.1.1","71916","","","","0"
"2012","Canada","2016A000011124","Total assets","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526151","1.1.3.3.1.1","113242","","","","0"
"2016","Canada","2016A000011124","Total assets","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526151","1.1.3.3.1.1","158952","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526277","1.2.3.3.1.1","9356","","","","0"
"2005","Canada","2016A000011124","Private pension assets","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526277","1.2.3.3.1.1","9059","","","","0"
"2012","Canada","2016A000011124","Private pension assets","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526277","1.2.3.3.1.1","11983","","","","0"
"2016","Canada","2016A000011124","Private pension assets","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526277","1.2.3.3.1.1","24025","","","","0"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526403","1.3.3.3.1.1","6517","","","","0"
"2005","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526403","1.3.3.3.1.1","5533","E","","","0"
"2012","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526403","1.3.3.3.1.1","5072","E","","","0"
"2016","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526403","1.3.3.3.1.1","8483","","","","0"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526529","1.4.3.3.1.1","2839","E","","","0"
"2005","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526529","1.4.3.3.1.1","3526","E","","","0"
"2012","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Under 35 years","Persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526529","1.4.3.3.1.1","6912","","","","0"
