"REF_DATE","GEO","DGUID","Assets and debts","Age group","Economic family type","Statistics","Confidence intervals","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999","Canada","2016A000011124","Total assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526139","1.1.3.1.1.1","491075","","","","0"
"2005","Canada","2016A000011124","Total assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526139","1.1.3.1.1.1","510830","","","","0"
"2012","Canada","2016A000011124","Total assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526139","1.1.3.1.1.1","869649","","","","0"
"2016","Canada","2016A000011124","Total assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526139","1.1.3.1.1.1","983498","","","","0"
"1999","Canada","2016A000011124","Private pension assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526265","1.2.3.1.1.1","66102","","","","0"
"2005","Canada","2016A000011124","Private pension assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526265","1.2.3.1.1.1","60595","","","","0"
"2012","Canada","2016A000011124","Private pension assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526265","1.2.3.1.1.1","123203","","","","0"
"2016","Canada","2016A000011124","Private pension assets","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526265","1.2.3.1.1.1","134168","","","","0"
"1999","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526391","1.3.3.1.1.1","40270","","","","0"
"2005","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526391","1.3.3.1.1.1","39121","E","","","0"
"2012","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526391","1.3.3.1.1.1","47196","","","","0"
"2016","Canada","2016A000011124","Registered Retirement Savings Plans (RRSPs), Registered Retirement Income Funds (RRIFs), Locked-in Retirement Accounts (LIRAs) and other","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526391","1.3.3.1.1.1","47422","","","","0"
"1999","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526517","1.4.3.1.1.1","25832","","","","0"
"2005","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526517","1.4.3.1.1.1","21474","","","","0"
"2012","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526517","1.4.3.1.1.1","76008","","","","0"
"2016","Canada","2016A000011124","Employer-sponsored Registered Pension Plans (EPPs)","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526517","1.4.3.1.1.1","86746","","","","0"
"1999","Canada","2016A000011124","Financial assets, non pension","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526643","1.5.3.1.1.1","38704","","","","0"
"2005","Canada","2016A000011124","Financial assets, non pension","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526643","1.5.3.1.1.1","48776","","","","0"
"2012","Canada","2016A000011124","Financial assets, non pension","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526643","1.5.3.1.1.1","65123","","","","0"
"2016","Canada","2016A000011124","Financial assets, non pension","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526643","1.5.3.1.1.1","83378","","","","0"
"1999","Canada","2016A000011124","Deposits in financial institutions","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526769","1.6.3.1.1.1","18407","","","","0"
"2005","Canada","2016A000011124","Deposits in financial institutions","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526769","1.6.3.1.1.1","22742","","","","0"
"2012","Canada","2016A000011124","Deposits in financial institutions","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526769","1.6.3.1.1.1","29511","","","","0"
"2016","Canada","2016A000011124","Deposits in financial institutions","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526769","1.6.3.1.1.1","36351","","","","0"
"1999","Canada","2016A000011124","Mutual funds, investment funds  and income trusts","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526895","1.7.3.1.1.1","5671","","","","0"
"2005","Canada","2016A000011124","Mutual funds, investment funds  and income trusts","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526895","1.7.3.1.1.1","7331","E","","","0"
"2012","Canada","2016A000011124","Mutual funds, investment funds  and income trusts","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526895","1.7.3.1.1.1","7794","E","","","0"
"2016","Canada","2016A000011124","Mutual funds, investment funds  and income trusts","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80526895","1.7.3.1.1.1","8532","E","","","0"
"1999","Canada","2016A000011124","Stocks","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527021","1.8.3.1.1.1","6068","E","","","0"
"2005","Canada","2016A000011124","Stocks","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527021","1.8.3.1.1.1","4029","E","","","0"
"2012","Canada","2016A000011124","Stocks","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527021","1.8.3.1.1.1","10059","E","","","0"
"2016","Canada","2016A000011124","Stocks","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527021","1.8.3.1.1.1","5281","E","","","0"
"1999","Canada","2016A000011124","Bonds (saving and other)","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527147","1.9.3.1.1.1","1169","E","","","0"
"2005","Canada","2016A000011124","Bonds (saving and other)","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527147","1.9.3.1.1.1","6257","E","","","0"
"2012","Canada","2016A000011124","Bonds (saving and other)","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527147","1.9.3.1.1.1","724","E","","","0"
"2016","Canada","2016A000011124","Bonds (saving and other)","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527147","1.9.3.1.1.1","252","E","","","0"
"1999","Canada","2016A000011124","Tax Free Saving Accounts (TFSA)","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527273","1.10.3.1.1.1","","..","","","0"
"2005","Canada","2016A000011124","Tax Free Saving Accounts (TFSA)","Under 35 years","Economic families and persons not in an economic family","Total values","Estimate","2016 constant dollars","350","millions","6","v80527273","1.10.3.1.1.1","","..","","","0"
